Sample,Latitude,Longitude,Depth (m),Type,Size (mm),,SiO21 (wt. %),TiO2,Al2O3,Fe2O3T1,MgO,MnO,CaO1,K2O1,P2O5,,Sc (ppm),V,Cr,Co,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Zr,Nb,Mo,Cd,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Bi,Th,U
G87-1,-43.716020,181.000000,388,Nodule,32,,9.26,0.05,1.77,3.58,1.09,0.011,52.3,0.99,33.8,,1.33,46.0,16.5,3.63,22.8,23.0,21.9,2.73,14.2,40.4,1832,17.0,17.8,1.63,2.18,0.082,0.511,2.60,1.94,60.3,9.34,9.08,1.44,5.82,1.07,0.245,1.34,0.190,1.257,0.324,0.952,0.143,0.882,0.150,0.377,0.097,0.170,7.26,0.033,1.09,183
G87-2,-43.716020,181.000000,388,Nodule,10,,8.04,0.04,1.00,4.45,1.34,0.014,53.3,1.07,33.5,,1.25,48.3,14.9,4.81,24.5,8.35,23.4,1.99,37.8,47.8,1926,14.4,13.1,1.01,2.75,0.141,0.132,1.83,2.27,72.2,7.60,6.35,1.09,4.69,0.841,0.200,1.06,0.154,1.002,0.252,0.761,0.109,0.696,0.100,0.209,0.044,0.258,7.13,0.016,0.487,144
G90-5-1,-43.716702,180.500000,326,Nodule,55,,2.11,0.02,0.88,1.50,0.65,0.015,65.5,0.39,19.3,,0.847,72.1,10.5,1.38,10.2,6.03,12.5,1.34,15.0,10.7,1780,15.5,14.8,0.802,2.43,0.394,0.414,1.08,0.331,20.7,8.33,6.07,1.32,5.35,1.01,0.244,1.26,0.183,1.202,0.305,0.927,0.138,0.847,0.134,0.272,0.043,0.143,4.76,0.022,0.509,228
G96-1,-43.520000,180.000000,395,Nodule,35,,2.96,0.04,0.95,1.64,0.91,0.025,62.8,0.46,25.9,,1.07,44.1,11.6,3.14,21.5,12.3,25.3,1.46,33.8,19.1,2332,10.5,12.1,0.994,2.62,0.353,0.173,1.41,1.31,72.5,5.49,4.77,0.910,3.79,0.731,0.187,0.956,0.138,0.894,0.207,0.627,0.088,0.565,0.080,0.207,0.056,0.375,5.31,0.032,0.603,217
H640-2,-42.488300,179.531693,388,Nodule,66,,2.51,0.01,0.25,2.86,0.89,0.022,62.7,0.59,21.5,,0.391,26.5,8.58,2.29,14.2,9.22,19.6,0.478,17.4,20.7,2143,7.76,5.96,0.327,0.836,0.347,0.005,1.93,0.746,202,5.48,2.14,0.782,3.38,0.643,0.180,0.835,0.127,0.832,0.195,0.575,0.082,0.513,NaN,0.088,0.009,NaN,5.60,0.003,0.109,104
H663-1,-43.483299,179.233307,368,Nodule,31,,3.81,0.01,0.69,3.63,0.91,0.013,60.5,0.72,25.8,,1.09,117,9.85,2.99,18.8,7.26,24.8,1.49,22.1,26.8,1894,22.5,15.2,0.752,2.61,0.354,3.197,2.31,1.05,12.4,12.0,5.76,1.33,5.60,0.957,0.230,1.27,0.200,1.404,0.372,1.14,0.167,1.14,0.174,0.174,0.013,0.104,8.15,0.020,0.099,157
H663-2,-43.483299,179.233307,368,Nodule,17,,5.19,0.01,0.72,3.97,0.96,0.014,58.2,0.85,26.5,,1.17,125,17.0,6.17,27.3,8.97,25.7,2.11,26.0,32.7,1742,26.1,15.9,0.568,1.13,0.440,0.160,3.83,1.51,14.0,15.5,7.47,1.59,6.77,1.15,0.277,1.64,0.231,1.714,0.435,1.35,0.200,1.27,0.202,0.198,0.010,0.080,12.0,0.042,0.115,178
H959-1,-43.497000,178.000000,336,Nodule,22,,5.86,0.03,0.77,4.45,1.09,0.019,56.6,0.84,28.0,,1.18,43.3,13.4,5.59,24.0,7.28,26.0,1.64,45.9,33.5,1832,17.1,12.2,0.726,5.26,0.258,0.519,2.59,1.59,83.2,9.55,6.34,1.23,4.89,0.903,0.214,1.15,0.167,1.173,0.295,0.907,0.127,0.831,0.136,0.196,0.034,0.871,8.58,0.021,0.384,98.3
H959-2,-43.497000,178.000000,336,Nodule,52,,3.18,0.02,0.47,3.60,0.83,0.021,60.9,0.63,24.6,,3.00,97.5,27.4,21.9,73.3,9.48,46.5,1.25,65.8,27.2,2101,106,19.6,0.766,4.04,0.789,0.202,4.00,1.58,911,50.9,19.1,6.52,27.3,4.60,1.32,7.13,1.00,7.116,1.828,5.49,0.743,4.54,0.685,0.260,0.025,4.99,8.90,0.076,0.208,24.8
I572-3,-43.506699,179.238297,378,Nodule,11,,12.90,0.03,1.54,5.93,1.64,0.010,47.5,1.76,32.1,,2.86,102,42.6,8.11,29.9,5.85,40.2,4.64,26.8,74.5,1522,80.6,25.9,1.40,1.15,0.074,0.052,5.91,2.88,32.1,48.9,29.5,5.29,19.8,3.42,0.833,5.29,0.714,5.110,1.251,4.12,0.560,3.49,0.557,0.367,0.037,0.254,21.9,0.098,0.292,137
I605-1,-43.355000,181.993301,348,Nodule,30,,5.85,0.05,1.32,5.14,1.12,0.015,54.5,0.68,30.5,,1.26,77.6,16.3,4.58,26.5,8.02,36.2,2.03,41.5,27.1,1731,10.5,17.9,1.16,1.33,0.176,0.319,9.39,1.54,31.5,5.42,5.44,0.906,3.51,0.721,0.185,0.874,0.118,0.860,0.194,0.604,0.093,0.578,0.098,0.274,0.054,0.182,5.52,0.019,0.727,204
I609-2,-44.005000,181.521698,450,Nodule,18,,9.66,0.06,2.02,4.56,1.26,0.011,50.9,1.10,32.4,,1.80,73.3,21.9,7.04,33.2,11.0,42.9,2.80,69.5,42.5,1830,14.8,25.1,1.59,2.33,0.174,0.263,2.08,2.08,255,7.54,7.93,1.25,5.21,0.972,0.333,1.28,0.187,1.177,0.286,0.866,0.127,0.797,0.135,0.468,0.089,1.24,5.01,0.045,0.956,406
N824-1,-43.581699,179.408295,419,Nodule,15,,6.66,0.04,0.93,6.77,1.29,0.023,53.8,0.89,30.1,,1.12,63.4,16.5,8.09,35.2,8.43,41.8,1.63,53.9,39.2,1902,12.5,10.7,0.931,4.65,0.451,0.555,3.08,2.10,33.1,6.36,4.71,0.947,4.07,0.721,0.177,0.942,0.140,0.950,0.217,0.671,0.096,0.592,0.086,0.202,0.040,0.596,11.1,0.026,0.488,117
N824-2,-43.581699,179.408295,419,Nodule,34,,6.62,0.03,0.92,5.38,1.04,0.016,55.6,0.88,27.4,,1.79,79.0,21.0,8.75,28.9,6.93,32.5,2.36,57.4,40.5,1590,35.7,15.0,0.841,2.07,0.427,0.225,5.33,2.80,105,20.3,13.3,2.48,10.3,1.79,0.455,2.51,0.360,2.402,0.629,1.88,0.277,1.68,0.254,0.199,0.026,0.407,20.1,0.052,0.335,58.2
N824-3,-43.581699,179.408295,419,Nodule,53,,NaN,0.01,0.17,1.21,0.58,0.017,67.1,0.25,23.3,,0.450,22.2,4,1.48,9.11,7.41,10.9,0.319,8.65,7.43,2119,10.0,3.86,0.216,0.776,0.227,0.170,0.607,0.376,175,5.24,2.44,0.867,3.67,0.690,0.198,0.904,0.127,0.895,0.195,0.610,0.083,0.486,0.075,0.056,0.008,0.060,1.61,0.009,0.120,104
N829-2,-43.581699,179.388306,428,Nodule,26,,4.47,0.01,0.61,3.68,0.92,0.014,58.4,0.75,26.8,,1.24,136,19.6,8.98,39.7,11.5,40.2,1.30,45.9,27.2,1933,26.4,16.9,0.801,4.07,0.616,0.298,2.47,1.36,301,20.1,10.4,2.61,10.9,1.99,0.551,2.69,0.398,2.640,0.660,1.96,0.278,1.71,NaN,0.225,0.018,0.004,9.55,0.011,0.277,246
N829-3,-43.581699,179.388306,428,Nodule,11,,8.34,0.02,0.98,4.90,1.27,0.011,53.4,1.23,27.9,,1.41,118,29.0,7.79,34.7,8.54,30.5,2.19,48.0,48.7,1777,34.6,21.5,0.965,3.35,0.250,0.313,3.54,2.17,42.2,27.8,16.7,2.76,10.8,1.82,0.442,2.72,0.382,2.580,0.704,2.19,0.320,2.06,NaN,0.266,0.019,0.002,13.7,0.009,0.170,231
N839-1,-43.581699,179.388306,428,Nodule,38,,3.55,0.02,0.64,3.06,0.73,0.016,61.2,0.64,24.5,,1.24,85.4,25.1,13.5,49.5,4.57,24.3,1.44,52.3,24.3,1644,25.4,11.6,0.548,2.31,0.458,0.115,6.36,1.21,123,13.7,8.04,2.07,8.45,1.67,0.401,2.03,0.309,2.036,0.509,1.43,0.212,1.28,0.198,0.182,0.018,2.46,11.2,0.043,0.305,54.3
N839-3,-43.581699,179.388306,428,Nodule,,,13.75,0.02,1.66,6.26,1.89,0.009,46.3,1.92,30.0,,3.36,113,61.4,10.9,42.3,5.42,40.8,5.20,96.5,83.0,1493,97.5,27.2,1.57,1.34,0.123,,6.68,3.14,37.0,60.0,37.1,6.19,25.3,4.16,1.01,6.25,0.875,6.003,1.525,4.56,0.669,3.91,0.619,0.467,0.038,1.55,20.7,0.138,0.285,111
N840-1,-43.500000,179.331696,375,Nodule,39,,4.49,0.01,0.86,2.67,0.83,0.010,60.0,0.72,25.1,,1.84,65.0,7,4.07,22.3,4.14,17.1,1.09,29.1,22.9,1689,32.4,17.8,0.562,1.82,0.428,0.051,4.54,0.918,16.8,15.6,9.35,1.79,7.17,1.23,0.302,1.76,0.275,2.138,0.566,1.79,0.285,1.87,0.287,0.214,0.013,0.300,6.37,0.021,0.152,278
N840-3,-43.500000,179.331696,375,Nodule,34,,7.46,0.02,0.86,5.45,1.20,0.012,53.3,1.15,29.9,,1.42,110,29.8,12.0,45.6,6.87,33.4,3.12,84.2,48.3,1684,36.8,16.2,0.854,2.99,0.216,0.110,10.0,2.02,330,21.6,9.83,2.23,9.06,1.48,0.413,2.26,0.311,2.161,0.573,1.82,0.275,1.68,0.284,0.213,0.018,2.070,17.4,0.080,0.210,89.8
N845-1,-43.518299,179.286697,380,Nodule,42,,3.65,0.01,0.55,4.16,0.80,0.018,59.4,0.62,25.8,,0.748,164,14.8,9.75,37.0,7.01,28.2,1.84,23.5,25.3,1719,18.8,12.0,0.599,1.87,0.279,0.102,7.16,1.28,15.1,10.6,5.32,1.25,5.11,0.860,0.229,1.26,0.182,1.252,0.313,0.968,0.139,0.869,0.138,0.109,0.010,0.017,14.8,0.061,0.149,54.6
N845-3,-43.518299,179.286697,380,Nodule,22,,1.74,0.01,0.43,2.29,0.74,0.021,62.2,0.44,27.6,,0.957,99.6,15.6,4.03,21.0,5.93,30.4,0.887,18.4,17.0,2330,24.6,14.4,0.493,1.33,0.360,0.171,2.63,1.07,402,18.1,7.94,2.00,8.39,1.48,0.411,2.14,0.304,2.159,0.536,1.59,0.227,1.31,NaN,0.147,0.017,NaN,9.35,0.008,0.235,77.0
N857-1,-43.543301,179.541702,399,Nodule,72,,0.94,0.01,0.25,6.39,0.88,0.032,60.5,0.36,23.7,,0.415,140,15.6,8.06,28.6,8.33,38.2,0.720,63.5,12.5,1940,11.0,6.13,0.361,3.11,0.603,,4.12,0.762,72.4,5.21,2.33,0.860,3.80,0.742,0.182,0.933,0.139,0.914,0.220,0.670,0.092,0.545,0.085,0.076,0.010,0.853,13.6,0.046,0.151,146
N868-1-B,-43.550000,179.800000,395,Nodule,32,,5.50,0.01,0.37,5.80,1.00,0.014,58.2,0.89,21.2,,0.625,80.8,16.1,2.83,20.0,11.6,18.3,0.672,28.3,32.9,1987,11.7,15.4,0.528,1.82,0.221,1.53,1.72,1.30,289,5.63,2.57,0.754,3.23,0.619,0.190,0.780,0.116,0.784,0.194,0.648,0.094,0.588,0.105,0.198,0.012,0.017,8.33,0.030,0.111,347
Q13-2,-43.700000,180.090000,415,Nodule,79,,1.97,0.01,0.32,2.17,0.83,0.014,61.9,0.54,26.3,,0.808,79.4,20.2,3.54,27.2,22.0,25.3,0.658,24.5,18.2,2423,16.7,14.2,0.546,1.06,0.260,,1.04,0.745,260,7.99,3.82,1.32,5.67,1.10,0.374,1.43,0.215,1.395,0.340,1.01,0.143,0.891,0.146,0.202,0.014,0.729,9.47,0.071,0.185,653
Q4C-1,-43.685000,179.941666,385,Nodule,38,,0.93,0.01,0.18,3.35,0.76,0.015,62.5,0.39,26.1,,0.311,48.1,8,2.28,18.2,11.3,19.1,0.445,26.7,14.1,2384,6.15,6.07,0.308,1.24,0.095,0.088,3.46,0.812,134,3.35,1.50,0.469,2.07,0.367,0.125,0.515,0.069,0.465,0.110,0.315,0.047,0.277,0.044,0.074,0.007,0.091,10.3,0.044,0.106,295
E79-4,-43.083000,178.000000,371,Phosphatised Slab,99,,0.98,0.02,0.54,10.77,0.92,0.035,57.4,0.29,21.6,,0.812,186,33.7,4.83,23.0,6.04,46.7,0.997,92.6,9.20,1994,16.0,6.77,0.771,3.15,0.245,0.189,3.97,0.532,75.5,7.41,3.98,1.23,5.22,1.02,0.252,1.45,0.193,1.356,0.310,0.988,0.143,0.836,0.142,0.116,0.022,0.028,13.4,0.137,0.301,128
G96-2,-43.520000,180.000000,395,Phosphatised Slab,36,,7.14,0.04,1.20,3.78,1.23,0.024,55.6,0.89,28.7,,1.27,62.7,16.5,6.69,31.9,10.3,31.3,1.96,53.6,33.1,2002,13.1,12.8,1.23,2.07,0.255,0.441,2.84,1.75,72.3,6.75,6.63,1.10,4.42,0.817,0.196,1.04,0.150,1.015,0.257,0.731,0.109,0.664,0.109,0.256,0.065,1.68,7.79,0.031,0.862,187
I613-2,-43.763302,181.274994,430,Bone  ,56,,2.66,0.01,0.30,2.35,1.04,0.010,56.1,0.55,42.9,,0.465,21.2,11.9,3.49,10.5,3.13,NaN,0.798,23.3,27.6,1605,10.2,4.79,0.331,0.833,0.128,0.070,1.99,1.78,107,5.10,4.37,0.673,2.80,0.525,0.144,0.715,0.096,0.659,0.162,0.512,0.074,0.479,0.083,0.096,0.010,0.195,3.51,0.027,0.340,22.6
N857-2,-43.543301,179.541702,399,Bone  ,28,,1.15,0.02,0.38,2.13,0.83,0.017,60.8,0.36,35.5,,0.976,46.5,12.8,3.53,14.1,5.67,82.7,0.738,26.8,12.7,2290,22.4,8.04,0.440,1.02,0.259,0.128,2.20,0.687,83.5,8.23,4.79,1.02,4.17,0.801,0.216,1.09,0.155,1.213,0.339,1.25,0.202,1.44,0.254,0.115,0.019,0.256,8.00,0.033,0.329,156
N868-1-A,-43.550000,179.800000,395,Bone  ,51,,2.51,0.02,0.56,1.83,0.93,0.015,57.8,0.47,40.3,,0.743,41.4,12.7,2.33,14.8,7.55,134.5,1.02,14.2,17.4,2276,6.08,6.69,0.548,1.17,0.186,,1.74,0.960,113,3.32,3.80,0.562,2.26,0.441,0.122,0.530,0.082,0.513,0.124,0.375,0.049,0.340,0.055,0.122,0.024,0.028,7.16,0.027,0.491,122
S14-1,-48.288300,168.701706,607,Nodule,52,,3.38,0.06,0.48,1.98,1.01,0.020,59.5,0.45,30.7,,1.37,70.9,12.1,5.01,21.6,14.1,28.8,1.016,18.6,23.4,2121,23.2,10.1,1.22,0.594,0.275,0.041,1.26,1.79,88.7,10.8,6.27,1.42,5.90,1.04,0.293,1.53,0.224,1.517,0.388,1.18,0.175,1.09,0.170,0.185,0.074,0.021,3.60,0.026,0.388,80.8
82-VAR-1,-49.819333,183.255933,1218,Nodule,45,,9.40,0.29,2.77,1.49,0.82,0.166,52.7,0.52,36.5,,4.92,59.8,42.0,41.6,53.2,39.7,75.7,6.49,9.09,14.2,1938,103,106,15.6,1.84,0.174,1.12,3.31,0.791,1515,75.1,32.8,9.79,38.6,6.22,1.92,9.05,1.21,7.677,1.820,5.38,0.747,4.79,0.808,1.67,0.680,0.052,13.2,0.080,2.27,12.7
83-3,-49.768333,183.242500,1278,Nodule,59,,17.06,0.72,5.41,3.30,1.43,0.824,42.8,0.87,28.2,,8.89,120,63.7,273,611,147,170.9,13.6,19.0,25.1,1433,252,162,25.3,10.3,0.426,1.35,5.48,1.32,523,183,77.4,22.8,95.5,16.0,4.21,21.4,2.84,17.879,4.213,12.9,1.75,11.0,1.95,3.31,1.27,0.710,53.5,0.578,4.06,7.27
83-VAR-1,-49.768333,183.242500,1278,Nodule,79,,23.70,0.84,7.28,3.04,1.46,0.285,39.1,1.67,24.9,,6.23,72.5,44.1,78.2,109,38.7,121.3,9.74,10.5,43.4,1209,87.5,120,26.8,2.96,0.207,1.19,3.86,2.11,2164,93.2,79.1,14.5,56.4,9.75,2.93,11.3,1.43,8.168,1.752,4.80,0.639,3.95,0.611,2.80,1.61,0.383,15.9,0.193,4.16,6.78
83-2,-49.768333,183.242500,1278,Breccia,49,,17.16,0.61,5.23,5.18,1.29,0.127,44.8,1.12,24.2,,8.95,136,153,42.4,99.2,46.3,211.2,7.48,68.7,37.0,3620,179,127,33.6,3.35,0.492,1.44,6.03,1.36,846,132,83.9,19.9,77.5,13.5,3.72,17.4,2.42,15.479,3.488,10.2,1.34,8.13,1.30,3.66,1.66,0.404,27.0,0.703,5.26,21.4
